time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,temp_lid,temp_well
14:13:42,39,19,4,4,6,6,10,26,24,10,7,20,22,8,6,16,97.9,67.86
14:14:13,39,19,4,4,6,6,10,26,24,10,8,20,22,8,6,15,98.4,65.16
14:14:43,39,19,4,4,5,6,10,26,24,11,7,20,22,8,6,15,98.8,62.16
14:15:14,38,19,4,3,5,6,9,26,24,11,7,20,22,8,6,15,98.2,59.45
14:15:42,38,19,4,3,5,6,9,26,24,11,7,20,22,8,6,15,98.2,58.45
14:16:13,38,18,4,3,5,6,9,26,24,11,8,20,22,8,6,15,98.0,61.26
14:16:43,38,19,4,3,5,6,9,26,24,11,7,20,22,8,6,16,98.6,60.96
14:17:14,38,19,4,3,5,6,9,26,24,11,7,20,22,8,6,15,99.3,61.26
14:17:42,39,19,4,3,5,6,9,26,24,11,7,20,22,8,6,15,99.2,61.36
14:18:13,38,19,4,3,5,6,9,26,24,11,8,20,22,8,6,16,99.4,61.26
14:18:43,39,19,4,3,5,6,9,26,24,11,7,20,22,8,6,15,99.4,61.36
14:19:14,38,19,4,3,5,6,9,26,24,11,8,20,22,8,6,15,99.2,61.36
14:19:42,39,19,4,3,5,6,9,26,24,11,7,20,22,8,6,15,99.4,61.26
14:20:13,39,19,4,3,5,6,9,26,24,11,8,20,22,8,6,15,99.5,61.26
