time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,temp_lid,temp_well
10:13:11,25,21,6,2,1,3,18,29,26,15,12,47,46,14,17,17,98.6,68.06
10:13:41,25,21,6,2,1,2,17,29,26,15,12,47,47,13,17,17,98.5,65.26
10:14:12,25,22,6,2,2,3,18,29,26,15,12,50,49,13,16,17,99.1,62.36
10:14:40,25,21,6,2,1,2,17,28,25,14,11,50,49,13,16,17,99.3,61.06
10:15:11,27,22,6,2,1,2,18,30,27,16,13,52,51,14,17,19,99.5,62.46
10:15:41,26,21,6,2,1,2,17,28,26,15,12,49,48,14,16,18,99.3,62.56
10:16:12,25,20,6,2,1,2,17,28,26,15,12,49,47,13,16,17,99.3,62.66
10:16:40,25,20,6,2,1,2,17,28,25,14,11,48,47,13,16,18,99.5,62.56
10:17:11,25,21,6,2,1,2,18,29,25,15,11,49,48,13,16,18,99.2,62.56
10:17:41,25,21,6,2,2,3,17,29,26,15,12,49,48,13,16,18,99.5,62.56
10:18:12,25,21,6,2,1,2,17,27,25,14,12,49,47,14,16,18,99.4,62.66
10:18:40,26,20,6,2,2,3,17,29,25,15,11,49,48,13,16,17,99.4,62.66
10:19:11,25,20,6,2,1,3,17,29,25,14,12,49,48,14,16,18,99.4,62.66
10:19:41,26,20,5,2,1,2,17,29,25,15,12,49,47,14,16,18,99.6,62.56
10:20:12,25,20,5,2,1,2,17,29,25,14,11,48,47,13,15,17,99.3,62.66
10:20:40,26,20,6,2,1,3,17,28,25,15,11,48,48,13,16,18,99.3,62.76
10:21:11,25,20,6,2,2,2,17,28,25,15,11,48,48,13,16,18,99.5,62.66
10:21:41,25,20,5,2,1,2,16,27,24,14,11,48,47,13,16,17,99.5,62.56
10:22:11,25,20,6,2,1,2,17,28,25,14,11,48,47,13,16,18,99.4,62.76
10:22:42,26,20,5,2,2,2,17,28,25,14,12,48,47,13,15,18,99.4,62.66
10:23:10,25,21,6,2,1,2,17,28,24,14,11,48,48,14,16,18,99.4,62.66
10:23:41,25,20,5,2,1,2,16,28,25,14,11,48,47,13,16,18,99.5,62.76
10:24:11,25,21,6,2,2,2,16,28,24,15,11,49,47,13,15,17,99.4,62.76
10:24:42,24,20,5,2,1,3,16,27,24,14,11,48,47,13,15,17,99.4,62.76
10:25:10,25,20,5,2,1,2,17,27,25,15,11,48,48,13,16,17,99.4,62.66
10:25:41,25,20,5,2,2,2,16,28,24,14,11,48,47,13,16,18,99.4,62.66
10:26:11,25,20,5,2,1,2,16,27,23,14,11,47,46,13,16,16,99.4,62.76
10:26:42,25,20,6,2,1,3,16,27,25,15,11,48,47,13,16,17,99.4,62.56
10:27:10,25,21,6,2,1,3,16,28,25,15,11,48,47,13,15,17,99.4,62.66
10:27:41,25,21,5,2,2,2,16,28,25,14,11,48,48,14,16,17,99.5,62.66
10:28:11,25,20,5,2,1,2,16,28,25,14,11,48,47,13,16,17,99.3,62.66
10:28:42,24,20,6,2,2,3,16,28,25,14,11,48,47,14,16,17,99.7,62.66
10:29:10,25,21,6,2,1,2,16,28,24,14,11,48,47,14,16,17,99.4,62.66
10:29:41,24,20,6,2,1,2,16,27,24,14,11,48,47,13,15,17,99.5,62.56
10:30:11,24,20,6,2,1,2,16,28,25,14,11,47,47,13,16,17,99.5,62.66
10:30:41,25,21,5,2,2,3,15,28,25,14,11,48,47,14,15,17,99.5,62.76
10:31:10,24,20,5,2,1,2,16,26,24,14,11,48,46,13,15,16,99.4,62.66
10:31:40,25,20,5,2,1,2,16,28,25,15,11,48,47,13,15,17,99.5,62.66
10:32:11,24,20,5,2,2,2,16,27,24,15,11,48,47,13,16,17,99.5,62.56
10:32:41,24,20,5,2,1,2,16,28,24,14,11,48,47,13,16,17,99.6,62.66
10:33:12,25,20,5,2,2,2,16,27,24,14,11,48,47,13,16,17,99.4,62.56
10:33:40,25,20,5,2,2,2,16,28,25,14,11,48,46,14,16,17,99.4,62.56
10:34:11,24,20,6,2,1,3,16,27,24,15,11,48,46,13,16,17,99.4,62.66
10:34:41,24,20,5,2,2,2,16,27,25,14,11,48,47,13,16,17,99.6,62.66
10:35:12,24,20,5,2,1,2,16,27,24,14,11,48,47,13,15,18,99.4,62.66
10:35:40,25,20,5,2,2,2,16,27,24,14,11,48,47,13,15,17,99.6,62.76
10:36:11,25,20,5,2,1,2,16,28,25,14,11,48,47,13,16,17,99.5,62.56
10:36:41,25,20,6,2,1,3,16,27,24,14,11,49,47,13,15,17,99.4,62.66
10:37:11,25,20,5,2,1,3,16,27,24,14,11,48,47,13,15,17,99.4,62.66
10:37:40,24,20,5,2,2,2,16,27,24,14,11,48,47,13,15,17,99.4,62.66
10:38:10,24,20,5,2,2,2,16,27,24,14,11,48,47,13,16,17,99.5,62.66
10:38:41,24,19,6,2,1,2,16,27,24,14,10,48,46,13,15,16,99.5,62.56
10:39:11,24,20,6,2,2,2,16,27,24,14,11,48,47,13,16,17,99.6,62.56
10:39:42,25,20,5,2,2,2,16,27,24,15,11,50,47,13,15,17,99.4,62.66
10:40:10,24,20,5,2,2,2,16,28,24,14,11,49,47,14,15,17,99.6,62.66
10:40:41,24,19,6,2,1,3,16,27,24,14,11,51,47,13,16,17,99.5,62.66
10:41:11,24,20,6,2,1,2,16,27,24,14,11,54,47,13,15,16,99.5,62.56
10:41:42,25,20,6,2,1,3,16,27,24,14,11,57,47,13,16,17,99.6,62.66
10:42:10,25,19,5,2,2,2,16,27,23,14,11,61,47,13,16,17,99.4,62.66
10:42:41,24,20,6,2,1,2,16,28,24,14,11,67,47,13,15,16,99.5,62.56
10:43:11,24,20,6,2,1,2,16,27,24,14,11,75,47,13,15,17,99.5,62.56
10:43:42,25,19,6,2,1,3,16,27,24,14,12,88,47,13,15,17,99.6,62.66
10:44:10,24,21,5,2,1,2,16,27,24,14,11,100,47,13,16,17,99.5,62.66
10:44:41,25,20,6,2,1,2,16,27,24,14,11,113,48,13,15,17,99.7,62.56
10:45:11,25,20,6,3,1,2,16,27,24,15,11,128,47,13,16,17,99.4,62.66
10:45:41,24,20,6,2,1,2,15,26,24,14,11,139,46,13,15,17,99.5,62.76
10:46:12,25,20,6,2,2,2,16,27,24,15,11,151,47,13,16,17,99.5,62.66
10:46:40,24,20,5,2,2,2,15,26,24,13,11,156,47,13,16,17,99.5,62.66
10:47:11,24,19,6,2,1,2,15,27,25,14,11,164,47,14,16,16,99.7,62.66
10:47:41,25,20,6,2,1,2,15,26,25,14,11,168,47,13,16,17,99.5,62.66
10:48:12,24,19,6,2,2,2,15,27,24,14,11,172,48,13,15,16,99.4,62.56
10:48:40,23,20,5,2,2,2,16,27,24,15,11,175,47,13,15,17,99.5,62.66
10:49:11,24,20,5,2,2,2,16,27,24,14,12,177,47,14,15,17,99.5,62.66
10:49:41,25,20,5,2,1,2,15,26,24,14,11,180,47,13,15,17,99.3,62.66
10:50:12,25,20,6,2,1,2,16,27,24,14,11,181,47,13,15,17,99.5,62.56
10:50:40,25,20,6,2,1,2,16,26,24,14,12,183,47,13,15,17,99.6,62.56
10:51:11,24,20,6,2,1,3,16,27,24,14,11,185,47,13,15,17,99.5,62.56
10:51:41,24,20,5,2,1,2,16,26,23,14,11,185,48,14,15,17,99.4,62.56
